co2_emissions,epoch,ewc_loss,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,train_loss,val_loss/dataloader_idx_0,val_loss/dataloader_idx_1
,0,0.0,48,,,0.1052069365978241,,
,0,,76,,,,0.1184847429394722,0.2901965081691742
0.0003766739973798394,0,,76,,,,,
,1,0.0,97,,,0.15730071067810059,,
,1,0.0,146,,,0.10752306878566742,,
,1,,153,,,,0.12256793677806854,0.29156526923179626
0.0007486806134693325,1,,153,,,,,
,2,0.0,195,,,0.10797080397605896,,
,2,,230,,,,0.10439476370811462,0.3234098553657532
0.001123533002100885,2,,230,,,,,
,3,0.0,244,,,0.09300051629543304,,
,3,0.0,293,,,0.07676892727613449,,
,3,,307,,,,0.06403719633817673,0.30146270990371704
0.0014939825050532818,3,,307,,,,,
,4,0.0,342,,,0.06338328123092651,,
,4,,384,,,,0.04950450733304024,0.3211138844490051
0.0018666242249310017,4,,384,,,,,
,5,0.0,391,,,0.048004671931266785,,
,5,0.0,440,,,0.042789679020643234,,
,5,,461,,,,0.04086868092417717,0.23589469492435455
0.0022400887683033943,5,,461,,,,,
,6,0.0,489,,,0.05917438119649887,,
,6,0.0,538,,,0.023316696286201477,,
,6,,538,,,,0.035684261471033096,0.2425689697265625
0.0026184041053056717,6,,538,,,,,
,7,0.0,587,,,0.025991961359977722,,
,7,,615,,,,0.033470235764980316,0.24311532080173492
0.0029987881425768137,7,,615,,,,,
,8,0.0,636,,,0.03714628517627716,,
,8,0.0,685,,,0.03209728002548218,,
,8,,692,,,,0.0312817245721817,0.22938819229602814
0.003378808032721281,8,,692,,,,,
,9,0.0,734,,,0.03465375676751137,,
,9,,769,,,,0.033998843282461166,0.20234432816505432
0.0037493747659027576,9,,769,,,,,
,10,0.0,783,,,0.023502444848418236,,
,10,0.0,832,,,0.02784063294529915,,
,10,,846,,,,0.03260592743754387,0.21194709837436676
0.004122997168451548,10,,846,,,,,
,11,0.0,881,,,0.03608117997646332,,
,11,,923,,,,0.029593901708722115,0.20088544487953186
0.004486150573939085,11,,923,,,,,
,12,0.0,930,,,0.02761542610824108,,
,12,0.0,979,,,0.027252987027168274,,
,12,,1000,,,,0.029339592903852463,0.21536853909492493
0.004862499423325062,12,,1000,,,,,
,13,0.0,1028,,,0.02341023087501526,,
,13,0.0,1077,,,0.026980552822351456,,
,13,,1077,,,,0.029172532260417938,0.1988527923822403
0.005235598422586918,13,,1077,,,,,
,14,0.0,1126,,,0.01890997216105461,,
,14,,1154,,,,0.027241019532084465,0.21173574030399323
0.005597405601292849,14,,1154,,,,,
,15,0.0,1175,,,0.022153057157993317,,
,15,0.0,1224,,,0.028107035905122757,,
,15,,1231,,,,0.027511989697813988,0.2062210589647293
0.00597365852445364,15,,1231,,,,,
,16,0.0,1273,,,0.03027159906923771,,
,16,,1308,,,,0.026013920083642006,0.20716488361358643
0.006348421331495047,16,,1308,,,,,
,17,0.0,1322,,,0.024079248309135437,,
,17,0.0,1371,,,0.01598827913403511,,
,17,,1385,,,,0.02855183556675911,0.2079479992389679
0.00672307051718235,17,,1385,,,,,
,18,0.0,1420,,,0.02481558546423912,,
,18,,1462,,,,0.027281127870082855,0.20840980112552643
0.007097325753420591,18,,1462,,,,,
,19,0.0,1469,,,0.02769296243786812,,
,19,0.0,1518,,,0.019848866388201714,,
,19,,1539,,,,0.025660576298832893,0.21026499569416046
0.007461222819983959,19,,1539,,,,,
,20,0.0,1567,,,0.024242069572210312,,
,20,0.0,1616,,,0.023670906201004982,,
,20,,1616,,,,0.026572341099381447,0.1997452974319458
0.007833356969058514,20,,1616,,,,,
,21,0.0,1665,,,0.021368037909269333,,
,21,,1693,,,,0.025592796504497528,0.21749942004680634
0.008206607773900032,21,,1693,,,,,
,22,0.0,1714,,,0.022442221641540527,,
,22,0.0,1763,,,0.0273878276348114,,
,22,,1770,,,,0.02845102548599243,0.19656673073768616
0.00858301017433405,22,,1770,,,,,
,23,0.0,1812,,,0.024225855246186256,,
,23,,1847,,,,0.02565533109009266,0.19434823095798492
0.008952565491199493,23,,1847,,,,,
,24,0.0,1861,,,0.016812164336442947,,
,24,0.0,1910,,,0.028006255626678467,,
,24,,1924,,,,0.025281872600317,0.2064560353755951
0.009330229833722115,24,,1924,,,,,
,25,0.0,1959,,,0.01782076433300972,,
,25,,2001,,,,0.026017073541879654,0.21235434710979462
0.009706787765026093,25,,2001,,,,,
,26,0.0,2008,,,0.025726288557052612,,
,26,0.0,2057,,,0.022827621549367905,,
,26,,2078,,,,0.024184823036193848,0.21222934126853943
0.010084661655128002,26,,2078,,,,,
,27,0.0,2106,,,0.021575527265667915,,
,27,0.0,2155,,,0.017820080742239952,,
,27,,2155,,,,0.025111984461545944,0.19929322600364685
0.010452083311975002,27,,2155,,,,,
,28,0.0,2204,,,0.018141882494091988,,
,28,,2232,,,,0.024330584332346916,0.20017684996128082
0.010826250538229942,28,,2232,,,,,
,29,0.0,2253,,,0.014686457812786102,,
,29,0.0,2302,,,0.01848619431257248,,
,29,,2309,,,,0.02515026368200779,0.19910117983818054
0.011198301799595356,29,,2309,,,,,
,30,,2310,0.024184823036193848,0.21222934126853943,,,
